Real_Duration,Status,sentiment,complexity,Comment_Body,Edge_type,Count_Comments,language[Comment_Body],Planned_Duration,emotionality,Count_Subtasks,keywords[Comment_Body],sentimentWords[Comment_Body],Uuid,Name,SourceUuid,TargetUuid,Starttime,Endtime
,open,,,,CREATION,0,ro,,,,,,c1cb2e1e-35c5-4a77-97f4-9b6a168eae5f,Add .gitignore file,4095021,4095021,2019-12-06T21:21:41.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,f76887e8-f1bf-46cb-b00c-4fab052fba29,[2.6] Add settings widget to the prefs dialog for the implicit newline setting,4095021,4095021,2019-12-06T21:15:38.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,7fe45bf8-6988-41c0-bbbc-cac5875e107a,Xed segfaults on launch if using a user modified ~/.config/xed/accels,29017677,29017677,2019-11-28T05:55:11.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,97309485-af99-4fdf-b5dd-aa3a846831e1,[feature request] Request root permissions if necessary,12870528,12870528,2019-11-09T13:49:19.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,be0fe5a4-c1c5-4b3c-b973-26b89bbd0ab8,hotkeys for changing text size not working,858678,858678,2019-11-01T05:54:42.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,6fdb67c0-98fb-4852-bce4-a54f9f4a94ca,syntax highlighting - jump cursor to search box,28591861,28591861,2019-10-27T11:00:13.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,3015f4b2-f7db-4fd7-aa26-cc714a5eae0a,Xed Crashes with GDK-Error,8835007,8835007,2019-10-22T00:00:35.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,6ae7f3d4-d694-425c-bfb2-d799c734791a,Memory leak : unreleased memory after closing a document,25536748,25536748,2019-10-17T16:22:38.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,6e2fb2d1-2e30-4c0a-ab70-b898b6285ce2,Not an issue; small improvement!,39628502,39628502,2019-10-11T18:47:17.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,5672f5e0-68d6-4ef1-9dec-3c66b5474c3b,Selected Text Should Not Change Font Size With Zooming Shortcuts,25795277,25795277,2019-09-29T23:10:01.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,d93426b8-d62a-4b59-8834-31586346495b,Focus numbering is not properly set up in the search and replace panel,12681399,12681399,2019-09-24T13:39:17.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,ce19693a-660d-4e19-8a31-87d51632948a,Comment Block,18631108,18631108,2019-08-15T18:54:55.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,b3468822-71f2-4e71-b6cb-13dba6c111f9,PVS studio selective report,19782228,19782228,2019-07-27T18:45:47.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,84712f4b-4a87-48f3-97a7-cab893c88fdc,"File->Revert should keep the cursor position, if possible",21648,21648,2019-06-27T16:00:13.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,8aa98b3f-8967-44e5-9a6b-4875a7409605,Bug (I don't know whose): weird xed window-cursor interaction,5296986,5296986,2019-06-12T02:31:11.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,1,ro,,,,,,a69f8426-62dd-461b-835f-823e02b07fa9,FR: use different highlight colors for brace matching and found strings,5296986,5296986,2019-06-12T02:13:34.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,89c88e83-fa30-4869-82b4-a90c051810a2,FR: make Keyboard Shortcuts window non-modal,5296986,5296986,2019-06-12T02:09:47.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,4dc430dc-6f6a-4e33-8162-8b1bdcf61593,Feature Request: Join Lines,36276704,36276704,2019-05-28T17:28:30.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,0542c9d4-533d-4959-bbdf-99cbcead28a8,"When saving, actually creates a new file (new inode) and updated creation time",50881474,50881474,2019-05-21T19:02:24.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,f22bf286-da14-4e06-8569-bf684de5f7e9,Notify that Privacy Settings aren't allowing to list recently opened files.,4926997,4926997,2019-04-25T23:01:25.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,93ee5108-0605-46d8-8905-019fcff3aeee,Search works too hard - searching all open docs rather than just the one in focus,1708690,1708690,2019-04-20T14:31:20.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,cd572b5c-f549-4f77-b0d3-d2f687cb703f,xed crashes if you open an unmounted network share,49797363,49797363,2019-04-20T00:29:31.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,561435ae-e9ec-4b6b-ad82-50c9ce465d17,Two windows/tabs being opened with --wait option,27283110,27283110,2019-04-04T13:21:43.000+02:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,3,ro,,,,,,c87f0743-754a-41dd-ad4a-6c8fc9141d00,Xed won't open file,1978777,1978777,2019-03-13T19:51:03.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,4,ro,,,,,,6bd83474-a9e4-49b1-934b-e3eaa98e07c5,Feature request: Multiple edit cursors,14021202,14021202,2019-03-08T12:36:27.000+01:00,2019-12-08T17:06:42.000+01:00
,open,,,,CREATION,0,ro,,,,,,75682e74-e1d9-4db2-8672-2bb782664fa7,Search back hot key should be Shift+Enter as in other editors (or configurable),1485098,1485098,2019-02-08T15:47:01.000+01:00,2019-12-08T17:06:42.000+01:00
